Filename	left	right
126_0	0	0
10_28	1	3
10_36	0	3
10_33	0	0
10_83	0	0
10_192	2	1
67_138	0	0
86_60	1	2
100_3	0	0
100_12	0	0
100_152	0	0
100_180	0	0
100_232	0	0
100_233	0	0
101_52	1	2
101_108	0	0
101_132	2	1
101_168	3	3
102_52	1	2
102_60	0	0
103_23	0	0
106_100	0	3
106_180	0	1
107_100	3	2
108_38	1	2
109_28	0	0
110_36	0	0
110_52	0	0
111_88	3	3
112_3	0	0
112_103	3	3
113_60	1	2
115_0	0	0
115_52	0	0
115_112	3	3
116_228	1	2
117_28	0	0
117_172	3	3
126_0	0	0
158_36	0	0
164_45	0	0
268_63	0	0
302_mov-0006	0	0
302_mov-0013	1	1
331_225	0	0
0_8	0	0
0_12	0	0
0_16	0	0
0_24	0	0
0_44	0	0
0_48	1	1
0_52	1	1
0_56	1	1
0_68	3	3
0_92	3	3
0_100	3	3
0_108	3	3
0_112	3	3
0_132	3	3
1_0	0	0
1_12	0	0
1_16	0	0
1_20	0	0
1_24	1	1
1_28	1	1
1_32	1	1
1_56	3	3
1_92	3	3
7_0	0	0
10_0	0	0
10_4	0	0
10_40	0	0
10_48	0	0
10_52	0	0
10_60	0	0
10_76	0	0
10_100	0	0
10_104	0	0
10_112	0	0
10_120	0	0
10_144	0	0
10_152	0	0
10_156	0	0
10_180	1	0
10_188	1	2
10_196	2	1
11_8	0	0
11_20	2	1
11_32	2	1
11_40	1	3
11_48	3	3
12_20	0	0
12_32	0	0
12_48	0	0
12_68	0	0
12_72	0	0
12_104	1	2
12_120	2	1
18_16	0	0
67_144	0	0
100_32	1	1
100_52	0	2
100_60	1	2
100_64	0	0
100_72	0	0
100_84	0	0
100_100	0	0
100_316	2	1
101_0	0	0
101_40	1	0
101_40	1	2
101_128	0	1
102_40	1	0
102_44	1	2
102_52	1	2
103_12	0	0
103_32	1	1
103_40	1	1
104_104	1	2
104_108	1	2
104_116	1	2
104_144	0	0
104_200	2	1
104_208	2	1
331_400	0	0
332_450	1	1
333_0	0	0
333_120	0	0
334_375	1	1
337_552	1	1
357_480	1	0
363_475	2	1
