epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1398,1.22538,2.52118,1.4502,0.01658,0.98732,0.65176,0.35813,1.00153,2.79173,1.14867,0.0002858,0.0002858,0.0002858
2,149.03,1.03962,1.72071,1.30186,0.51131,0.70158,0.71966,0.46477,1.0239,2.10219,1.1831,0.000574289,0.000574289,0.000574289
3,222.742,0.98491,1.4753,1.27095,0.70532,0.64182,0.71625,0.42928,1.02922,1.85832,1.24321,0.000850895,0.000850895,0.000850895
4,296.992,0.9906,1.40699,1.26971,0.53808,0.49895,0.53205,0.27646,1.3146,2.11378,1.451,0.00111562,0.00111562,0.00111562
5,371.151,0.96046,1.32088,1.25845,0.68014,0.61687,0.68557,0.4405,1.09368,1.86239,1.2536,0.00131582,0.00131582,0.00131582
6,445.087,0.93709,1.26116,1.22543,0.71045,0.61469,0.7157,0.50393,1.01147,1.66124,1.18104,0.00128753,0.00128753,0.00128753
7,519.085,0.90107,1.19435,1.19932,0.61954,0.68309,0.70783,0.46161,1.00358,1.81883,1.22129,0.00125923,0.00125923,0.00125923
8,593.381,0.91157,1.19393,1.21376,0.6551,0.65614,0.69231,0.4875,1.03557,1.66185,1.26682,0.00123094,0.00123094,0.00123094
9,667.715,0.89183,1.15208,1.21321,0.69164,0.72084,0.71357,0.52833,0.98627,1.34284,1.2343,0.00120265,0.00120265,0.00120265
10,741.86,0.87528,1.08592,1.19023,0.82939,0.72322,0.82068,0.63307,0.88014,1.17671,1.09669,0.00117435,0.00117435,0.00117435
11,815.647,0.85047,1.0355,1.17171,0.83946,0.81853,0.87709,0.68365,0.80666,1.02479,1.06673,0.00114606,0.00114606,0.00114606
12,889.593,0.81725,1.02564,1.15701,0.82845,0.80695,0.85836,0.67378,0.79243,1.01877,1.00626,0.00111776,0.00111776,0.00111776
13,963.131,0.81435,0.97669,1.14557,0.84948,0.83785,0.86239,0.69554,0.70893,1.06029,0.95556,0.00108947,0.00108947,0.00108947
14,1036.95,0.78172,0.92875,1.13121,0.75798,0.88386,0.89065,0.6854,0.73064,1.0203,1.00636,0.00106118,0.00106118,0.00106118
15,1113.1,0.79,0.92026,1.12877,0.83404,0.8493,0.87391,0.69508,0.71027,0.92293,0.96514,0.00103288,0.00103288,0.00103288
16,1186.86,0.77534,0.91371,1.13331,0.8766,0.80354,0.87272,0.71263,0.70896,0.95462,0.95239,0.00100459,0.00100459,0.00100459
17,1260.54,0.7809,0.8791,1.1238,0.86331,0.84387,0.88621,0.72703,0.69759,0.84601,0.95996,0.000976293,0.000976293,0.000976293
18,1334.53,0.77729,0.85865,1.12641,0.90043,0.84098,0.90756,0.76481,0.64707,0.82696,0.91657,0.000947999,0.000947999,0.000947999
19,1408.29,0.73725,0.83466,1.10272,0.89054,0.87069,0.92668,0.78145,0.61686,0.72666,0.89936,0.000919704,0.000919704,0.000919704
20,1482.52,0.74946,0.83946,1.12956,0.88944,0.84749,0.90727,0.76841,0.64866,0.75041,0.92739,0.00089141,0.00089141,0.00089141
21,1556.66,0.69679,0.80606,1.08186,0.88974,0.87756,0.92311,0.78415,0.62006,0.6735,0.87443,0.000863116,0.000863116,0.000863116
22,1631.37,0.71451,0.81051,1.08956,0.90314,0.86731,0.93085,0.7764,0.65003,0.67684,0.89377,0.000834822,0.000834822,0.000834822
23,1705.01,0.71346,0.80164,1.08912,0.93498,0.83143,0.92317,0.77125,0.63947,0.6531,0.8949,0.000806528,0.000806528,0.000806528
24,1778.6,0.70716,0.77454,1.09346,0.92624,0.87471,0.93385,0.78094,0.64781,0.65025,0.9107,0.000778233,0.000778233,0.000778233
25,1852.37,0.68593,0.76552,1.08373,0.92696,0.86382,0.91859,0.79059,0.59891,0.67681,0.88748,0.000749939,0.000749939,0.000749939
26,1926.19,0.71821,0.78869,1.0853,0.85821,0.83743,0.89957,0.76075,0.64174,0.74509,0.91491,0.000721645,0.000721645,0.000721645
27,2000.13,0.69566,0.75022,1.09382,0.91831,0.88815,0.94274,0.79474,0.6393,0.646,0.89735,0.000693351,0.000693351,0.000693351
28,2074.61,0.68396,0.73616,1.06869,0.93399,0.88625,0.93783,0.81229,0.57514,0.60063,0.85316,0.000665057,0.000665057,0.000665057
29,2148.32,0.68025,0.71747,1.08065,0.91713,0.87418,0.91431,0.78694,0.623,0.65524,0.89892,0.000636762,0.000636762,0.000636762
30,2222.57,0.67002,0.72231,1.05636,0.94353,0.88884,0.94747,0.81579,0.56705,0.56415,0.85552,0.000608468,0.000608468,0.000608468
31,2296.53,0.67019,0.71032,1.0614,0.92728,0.91358,0.94514,0.81728,0.57389,0.54971,0.84867,0.000580174,0.000580174,0.000580174
32,2370.77,0.6495,0.7037,1.05282,0.92062,0.89321,0.9423,0.81212,0.5908,0.56399,0.86454,0.00055188,0.00055188,0.00055188
33,2444.64,0.66757,0.72121,1.08161,0.9224,0.88739,0.94833,0.82553,0.54733,0.54876,0.8262,0.000523586,0.000523586,0.000523586
34,2518.21,0.6398,0.69911,1.05107,0.90262,0.91675,0.94874,0.81409,0.60251,0.54229,0.87709,0.000495291,0.000495291,0.000495291
35,2592.71,0.67308,0.68677,1.06059,0.9446,0.88916,0.94315,0.82102,0.55642,0.526,0.82364,0.000466997,0.000466997,0.000466997
36,2666.38,0.62062,0.66934,1.04039,0.88179,0.9276,0.93565,0.82142,0.56289,0.52334,0.84219,0.000438703,0.000438703,0.000438703
37,2740.48,0.6391,0.66711,1.05449,0.90656,0.91217,0.93958,0.82765,0.54966,0.50977,0.83509,0.000410409,0.000410409,0.000410409
38,2814.1,0.62838,0.63513,1.04948,0.91531,0.90563,0.93157,0.81087,0.55982,0.52045,0.84688,0.000382115,0.000382115,0.000382115
