epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.6404,1.80831,2.97025,1.93947,0.01616,0.98328,0.5554,0.23026,1.66615,2.9987,1.79305,0.0002858,0.0002858,0.0002858
2,164.553,1.47679,2.23518,1.68274,0.64999,0.25191,0.47287,0.20387,1.71146,2.65089,1.97425,0.000574289,0.000574289,0.000574289
3,239.771,1.34759,1.95539,1.60541,0.7152,0.4367,0.50135,0.24007,1.57608,3.43593,1.73498,0.000850895,0.000850895,0.000850895
4,317.048,1.26568,1.83144,1.53009,0.25075,0.41656,0.2926,0.12368,1.72498,2.45573,1.97747,0.00111562,0.00111562,0.00111562
5,392.587,1.2622,1.70552,1.53034,0.19921,0.19408,0.2025,0.09304,1.78849,2.85357,1.8513,0.00131582,0.00131582,0.00131582
6,467.413,1.17982,1.59417,1.46327,0.29461,0.34105,0.31018,0.15513,1.55622,2.54916,1.75235,0.00128753,0.00128753,0.00128753
7,542.594,1.15462,1.54623,1.43825,0.65627,0.49779,0.59126,0.34002,1.37101,2.2477,1.67022,0.00125923,0.00125923,0.00125923
8,617.062,1.15804,1.5065,1.44267,0.53625,0.60196,0.54928,0.29668,1.33471,1.91966,1.53361,0.00123094,0.00123094,0.00123094
9,692.716,1.11864,1.45076,1.42858,0.7252,0.63372,0.70815,0.39824,1.24693,1.64788,1.44805,0.00120265,0.00120265,0.00120265
10,767.389,1.09391,1.39399,1.40944,0.60756,0.55095,0.52855,0.30631,1.1184,2.04923,1.35036,0.00117435,0.00117435,0.00117435
11,842.193,1.05046,1.34336,1.36525,0.77291,0.52556,0.54911,0.36391,1.16748,1.74809,1.34508,0.00114606,0.00114606,0.00114606
12,917.522,1.02598,1.31891,1.34209,0.71585,0.64556,0.73971,0.5125,1.12387,1.63203,1.29585,0.00111776,0.00111776,0.00111776
13,997.012,0.98064,1.22694,1.31879,0.71738,0.70511,0.77854,0.53523,1.06994,1.49936,1.27793,0.00108947,0.00108947,0.00108947
14,1071.34,0.97088,1.18726,1.30697,0.83607,0.72363,0.84691,0.58012,1.11252,1.28402,1.3133,0.00106118,0.00106118,0.00106118
15,1146.13,0.95378,1.16468,1.28796,0.76511,0.73208,0.79384,0.58733,0.90529,1.28038,1.152,0.00103288,0.00103288,0.00103288
16,1222.69,0.93688,1.17456,1.28564,0.72291,0.54482,0.65053,0.40468,1.3062,1.70964,1.46683,0.00100459,0.00100459,0.00100459
17,1300.3,0.92658,1.10395,1.27059,0.71827,0.64266,0.73994,0.49216,1.16894,1.54431,1.34841,0.000976293,0.000976293,0.000976293
18,1377.78,0.92069,1.11276,1.26503,0.80449,0.81645,0.88659,0.67041,0.85923,1.18445,1.10751,0.000947999,0.000947999,0.000947999
19,1454.85,0.89471,1.09204,1.25359,0.85901,0.82977,0.90924,0.71936,0.79281,0.9829,1.05047,0.000919704,0.000919704,0.000919704
20,1532.08,0.89507,1.06367,1.26389,0.91832,0.82968,0.91431,0.7114,0.82277,0.92684,1.1065,0.00089141,0.00089141,0.00089141
21,1609.74,0.8844,1.03592,1.23781,0.87979,0.79534,0.89812,0.70327,0.80477,0.92132,1.05399,0.000863116,0.000863116,0.000863116
22,1687.2,0.84156,1.02733,1.22972,0.82644,0.79783,0.88075,0.66151,0.88989,1.3908,1.12298,0.000834822,0.000834822,0.000834822
23,1765.16,0.83797,0.99857,1.22734,0.85151,0.83077,0.90429,0.67916,0.8965,1.00708,1.10959,0.000806528,0.000806528,0.000806528
24,1843.37,0.83176,0.97671,1.22685,0.84646,0.87166,0.9052,0.71353,0.7768,0.90409,1.05187,0.000778233,0.000778233,0.000778233
25,1921.18,0.82405,0.94845,1.20736,0.90125,0.81172,0.91719,0.72048,0.78511,0.87236,1.03626,0.000749939,0.000749939,0.000749939
26,1998.44,0.82909,0.95857,1.20073,0.87602,0.81872,0.89782,0.71028,0.79796,0.88298,1.05017,0.000721645,0.000721645,0.000721645
27,2075.9,0.80189,0.95516,1.19207,0.90917,0.8409,0.92994,0.75644,0.69837,0.84072,0.99637,0.000693351,0.000693351,0.000693351
28,2153.83,0.76898,0.88816,1.16882,0.87624,0.81265,0.90382,0.72153,0.75448,0.87301,1.04302,0.000665057,0.000665057,0.000665057
29,2231.45,0.77496,0.86921,1.1685,0.90496,0.83297,0.91595,0.72551,0.76541,0.82677,1.04724,0.000636762,0.000636762,0.000636762
